country,date,daily_sales,daily_profit,number_of_orders,units_sold,unique_customers,unique_products,number_of_rows,average_order_value,country_code,holiday_names,holiday_types,is_holiday,pre_holiday_3days,post_holiday_3days,holiday_window,year,month,weekday,weekday_number,is_weekend,has_sales,log_daily_sales
Austria,2011-01-11,152.0,40.89,1.0,3.0,1.0,2.0,2.0,152.0,,,,0,0,0,Normal,2011,1,Tuesday,1,0,1,5.030437921392435
Austria,2011-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Wednesday,2,0,0,0.0
Austria,2011-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Thursday,3,0,0,0.0
Austria,2011-01-14,1150.0,246.51,1.0,20.0,1.0,3.0,3.0,1150.0,,,,0,0,0,Normal,2011,1,Friday,4,0,1,7.048386408721883
Austria,2011-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Saturday,5,1,0,0.0
Austria,2011-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Sunday,6,1,0,0.0
Austria,2011-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Monday,0,0,0,0.0
Austria,2011-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Tuesday,1,0,0,0.0
Austria,2011-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Wednesday,2,0,0,0.0
Austria,2011-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Thursday,3,0,0,0.0
Austria,2011-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Friday,4,0,0,0.0
Austria,2011-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Saturday,5,1,0,0.0
Austria,2011-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Sunday,6,1,0,0.0
Austria,2011-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Monday,0,0,0,0.0
Austria,2011-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Tuesday,1,0,0,0.0
Austria,2011-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Wednesday,2,0,0,0.0
Austria,2011-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Thursday,3,0,0,0.0
Austria,2011-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Friday,4,0,0,0.0
Austria,2011-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Saturday,5,1,0,0.0
Austria,2011-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Sunday,6,1,0,0.0
Austria,2011-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,1,Monday,0,0,0,0.0
Austria,2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Tuesday,1,0,0,0.0
Austria,2011-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Wednesday,2,0,0,0.0
Austria,2011-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Thursday,3,0,0,0.0
Austria,2011-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Friday,4,0,0,0.0
Austria,2011-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Saturday,5,1,0,0.0
Austria,2011-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Sunday,6,1,0,0.0
Austria,2011-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Monday,0,0,0,0.0
Austria,2011-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Tuesday,1,0,0,0.0
Austria,2011-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Wednesday,2,0,0,0.0
Austria,2011-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Thursday,3,0,0,0.0
Austria,2011-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Friday,4,0,0,0.0
Austria,2011-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Saturday,5,1,0,0.0
Austria,2011-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Sunday,6,1,0,0.0
Austria,2011-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Monday,0,0,0,0.0
Austria,2011-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Tuesday,1,0,0,0.0
Austria,2011-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Wednesday,2,0,0,0.0
Austria,2011-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Thursday,3,0,0,0.0
Austria,2011-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Friday,4,0,0,0.0
Austria,2011-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Saturday,5,1,0,0.0
Austria,2011-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Sunday,6,1,0,0.0
Austria,2011-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Monday,0,0,0,0.0
Austria,2011-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Tuesday,1,0,0,0.0
Austria,2011-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,Normal,2011,2,Wednesday,2,0,0,0.0
