country,country_code,year,holiday_name,holiday_date,holiday_type,source
United States,US,2011,New Year's Day,2011-01-01,National holiday,Calendarific
United States,US,2011,Martin Luther King Jr. Day,2011-01-17,National holiday,Calendarific
United States,US,2011,Presidents' Day,2011-02-21,National holiday,Calendarific
United States,US,2011,Memorial Day,2011-05-30,National holiday,Calendarific
United States,US,2011,Independence Day,2011-07-04,National holiday,Calendarific
United States,US,2011,Labor Day,2011-09-05,National holiday,Calendarific
United States,US,2011,Columbus Day,2011-10-10,National holiday,Calendarific
United States,US,2011,Veterans Day,2011-11-11,National holiday,Calendarific
United States,US,2011,Thanksgiving Day,2011-11-24,National holiday,Calendarific
United States,US,2011,Christmas Day,2011-12-25,"National holiday, Christian",Calendarific
United States,US,2011,Christmas Day (substitute),2011-12-26,"National holiday, Christian",Calendarific
United States,US,2012,New Year's Day,2012-01-01,National holiday,Calendarific
United States,US,2012,New Year's Day (substitute),2012-01-02,National holiday,Calendarific
United States,US,2012,Martin Luther King Jr. Day,2012-01-16,National holiday,Calendarific
United States,US,2012,Presidents' Day,2012-02-20,National holiday,Calendarific
United States,US,2012,Memorial Day,2012-05-28,National holiday,Calendarific
United States,US,2012,Independence Day,2012-07-04,National holiday,Calendarific
United States,US,2012,Labor Day,2012-09-03,National holiday,Calendarific
United States,US,2012,Columbus Day,2012-10-08,National holiday,Calendarific
United States,US,2012,Veterans Day,2012-11-11,National holiday,Calendarific
United States,US,2012,Veterans Day (substitute),2012-11-12,National holiday,Calendarific
United States,US,2012,Thanksgiving Day,2012-11-22,National holiday,Calendarific
United States,US,2012,Christmas Day,2012-12-25,"National holiday, Christian",Calendarific
United States,US,2013,New Year's Day,2013-01-01,National holiday,Calendarific
United States,US,2013,Inauguration Day,2013-01-20,National holiday,Calendarific
United States,US,2013,Martin Luther King Jr. Day,2013-01-21,National holiday,Calendarific
United States,US,2013,Presidents' Day,2013-02-18,National holiday,Calendarific
United States,US,2013,Memorial Day,2013-05-27,National holiday,Calendarific
United States,US,2013,Independence Day,2013-07-04,National holiday,Calendarific
United States,US,2013,Labor Day,2013-09-02,National holiday,Calendarific
United States,US,2013,Columbus Day,2013-10-14,National holiday,Calendarific
United States,US,2013,Veterans Day,2013-11-11,National holiday,Calendarific
United States,US,2013,Thanksgiving Day,2013-11-28,National holiday,Calendarific
United States,US,2013,Christmas Day,2013-12-25,"National holiday, Christian",Calendarific
United States,US,2014,New Year's Day,2014-01-01,National holiday,Calendarific
United States,US,2014,Martin Luther King Jr. Day,2014-01-20,National holiday,Calendarific
United States,US,2014,Presidents' Day,2014-02-17,National holiday,Calendarific
United States,US,2014,Memorial Day,2014-05-26,National holiday,Calendarific
United States,US,2014,Independence Day,2014-07-04,National holiday,Calendarific
United States,US,2014,Labor Day,2014-09-01,National holiday,Calendarific
United States,US,2014,Columbus Day,2014-10-13,National holiday,Calendarific
United States,US,2014,Veterans Day,2014-11-11,National holiday,Calendarific
United States,US,2014,Thanksgiving Day,2014-11-27,National holiday,Calendarific
United States,US,2014,Christmas Day,2014-12-25,"National holiday, Christian",Calendarific
France,FR,2011,New Year's Day,2011-01-01,National holiday,Calendarific
France,FR,2011,Easter Monday,2011-04-25,National holiday,Calendarific
France,FR,2011,Labor Day / May Day,2011-05-01,National holiday,Calendarific
France,FR,2011,WWII Victory Day,2011-05-08,National holiday,Calendarific
France,FR,2011,Ascension Day,2011-06-02,National holiday,Calendarific
France,FR,2011,Pentecost Monday,2011-06-13,National holiday,Calendarific
France,FR,2011,Bastille Day,2011-07-14,National holiday,Calendarific
France,FR,2011,Assumption of Mary,2011-08-15,National holiday,Calendarific
France,FR,2011,All Saints' Day,2011-11-01,National holiday,Calendarific
France,FR,2011,Armistice Day,2011-11-11,National holiday,Calendarific
France,FR,2011,Christmas Day,2011-12-25,National holiday,Calendarific
France,FR,2012,New Year's Day,2012-01-01,National holiday,Calendarific
France,FR,2012,Easter Monday,2012-04-09,National holiday,Calendarific
France,FR,2012,Labor Day / May Day,2012-05-01,National holiday,Calendarific
France,FR,2012,WWII Victory Day,2012-05-08,National holiday,Calendarific
France,FR,2012,Ascension Day,2012-05-17,National holiday,Calendarific
France,FR,2012,Pentecost Monday,2012-05-28,National holiday,Calendarific
France,FR,2012,Bastille Day,2012-07-14,National holiday,Calendarific
France,FR,2012,Assumption of Mary,2012-08-15,National holiday,Calendarific
France,FR,2012,All Saints' Day,2012-11-01,National holiday,Calendarific
France,FR,2012,Armistice Day,2012-11-11,National holiday,Calendarific
France,FR,2012,Christmas Day,2012-12-25,National holiday,Calendarific
France,FR,2013,New Year's Day,2013-01-01,National holiday,Calendarific
France,FR,2013,Easter Monday,2013-04-01,National holiday,Calendarific
France,FR,2013,Labor Day / May Day,2013-05-01,National holiday,Calendarific
France,FR,2013,WWII Victory Day,2013-05-08,National holiday,Calendarific
France,FR,2013,Ascension Day,2013-05-09,National holiday,Calendarific
France,FR,2013,Pentecost Monday,2013-05-20,National holiday,Calendarific
France,FR,2013,Bastille Day,2013-07-14,National holiday,Calendarific
France,FR,2013,Assumption of Mary,2013-08-15,National holiday,Calendarific
France,FR,2013,All Saints' Day,2013-11-01,National holiday,Calendarific
France,FR,2013,Armistice Day,2013-11-11,National holiday,Calendarific
France,FR,2013,Christmas Day,2013-12-25,National holiday,Calendarific
France,FR,2014,New Year's Day,2014-01-01,National holiday,Calendarific
France,FR,2014,Easter Monday,2014-04-21,National holiday,Calendarific
France,FR,2014,Labor Day / May Day,2014-05-01,National holiday,Calendarific
France,FR,2014,WWII Victory Day,2014-05-08,National holiday,Calendarific
France,FR,2014,Ascension Day,2014-05-29,National holiday,Calendarific
France,FR,2014,Pentecost Monday,2014-06-09,National holiday,Calendarific
France,FR,2014,Bastille Day,2014-07-14,National holiday,Calendarific
France,FR,2014,Assumption of Mary,2014-08-15,National holiday,Calendarific
France,FR,2014,All Saints' Day,2014-11-01,National holiday,Calendarific
France,FR,2014,Armistice Day,2014-11-11,National holiday,Calendarific
France,FR,2014,Christmas Day,2014-12-25,National holiday,Calendarific
Germany,DE,2011,New Year's Day,2011-01-01,National holiday,Calendarific
Germany,DE,2011,Good Friday,2011-04-22,"National holiday, Christian",Calendarific
Germany,DE,2011,Easter Monday,2011-04-25,"National holiday, Christian",Calendarific
