country,number_of_rows,distinct_sales_days,first_order_date,last_order_date,total_sales
United States,9994,1238,2011-01-04,2014-12-31,2297354
France,2827,789,2011-01-04,2014-12-31,858930
Germany,2065,652,2011-01-12,2014-12-31,628857
United Kingdom,1633,604,2011-01-03,2014-12-31,528570
Turkey,1378,494,2011-01-11,2014-12-31,108524
Italy,1108,437,2011-01-11,2014-12-30,289717
Spain,859,366,2011-01-11,2014-12-31,287162
Netherlands,435,192,2011-01-07,2014-12-31,77520
Russia,384,173,2011-01-20,2014-12-31,82915
Ukraine,381,194,2011-03-01,2014-12-31,86855
Austria,331,167,2011-01-11,2014-12-26,92543
Poland,252,114,2011-02-22,2014-12-30,44227
Sweden,203,99,2011-01-01,2014-12-29,30490
Romania,173,89,2011-03-03,2014-12-24,37259
Belgium,147,69,2011-01-22,2014-12-25,49233
Ireland,106,50,2011-02-22,2014-12-29,16638
